  PID TTY          TIME CMD
    1 ?        00:00:02 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:00:13 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:00:00 migration/0
   10 ?        00:00:00 lru-add-drain
   11 ?        00:00:00 watchdog/0
   12 ?        00:00:00 cpuhp/0
   13 ?        00:00:00 cpuhp/1
   14 ?        00:00:00 watchdog/1
   15 ?        00:00:00 migration/1
   16 ?        00:00:00 ksoftirqd/1
   18 ?        00:00:00 kworker/1:0H
   19 ?        00:00:00 cpuhp/2
   20 ?        00:00:00 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:02 ksoftirqd/2
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:00 cpuhp/3
   26 ?        00:00:00 watchdog/3
   27 ?        00:00:00 migration/3
   28 ?        00:00:00 ksoftirqd/3
   30 ?        00:00:00 kworker/3:0H
   31 ?        00:00:00 kdevtmpfs
   32 ?        00:00:00 netns
   33 ?        00:00:00 khungtaskd
   34 ?        00:00:00 oom_reaper
   35 ?        00:00:00 writeback
   36 ?        00:00:00 kcompactd0
   37 ?        00:00:00 ksmd
   38 ?        00:00:01 khugepaged
   39 ?        00:00:00 crypto
   40 ?        00:00:00 kintegrityd
   41 ?        00:00:00 bioset
   42 ?        00:00:00 kblockd
   43 ?        00:00:00 ata_sff
   44 ?        00:00:00 md
   45 ?        00:00:00 devfreq_wq
   46 ?        00:00:00 watchdogd
   52 ?        00:00:05 kswapd0
   53 ?        00:00:00 vmstat
   54 ?        00:00:00 ecryptfs-kthrea
   93 ?        00:00:00 kthrotld
   95 ?        00:00:00 acpi_thermal_pm
   97 ?        00:00:00 bioset
   98 ?        00:00:00 bioset
   99 ?        00:00:00 bioset
  100 ?        00:00:00 bioset
  101 ?        00:00:00 bioset
  102 ?        00:00:00 bioset
  103 ?        00:00:00 bioset
  104 ?        00:00:00 bioset
  108 ?        00:00:00 ipv6_addrconf
  130 ?        00:00:00 deferwq
  131 ?        00:00:00 charger_manager
  174 ?        00:00:00 kpsmoused
  176 ?        00:00:00 scsi_eh_0
  177 ?        00:00:00 scsi_tmf_0
  178 ?        00:00:00 scsi_eh_1
  179 ?        00:00:00 scsi_tmf_1
  181 ?        00:00:00 i915/signal:0
  182 ?        00:00:00 i915/signal:1
  183 ?        00:00:00 i915/signal:2
  184 ?        00:00:00 i915/signal:4
  187 ?        00:00:00 bioset
  188 ?        00:00:00 bioset
  200 ?        00:00:00 kworker/3:1H
  275 ?        00:00:00 bioset
  305 ?        00:00:00 jbd2/sda1-8
  306 ?        00:00:00 ext4-rsv-conver
  347 ?        00:00:00 systemd-journal
  349 ?        00:00:00 kauditd
  366 ?        00:00:00 lvmetad
  381 ?        00:00:00 systemd-udevd
  393 ?        00:00:00 kworker/2:1H
  482 ?        00:00:00 kworker/1:1H
  483 ?        00:00:00 kworker/0:1H
  490 ?        00:00:00 irq/46-mei_me
  504 ?        00:00:00 cfg80211
  664 ?        00:00:00 kvm-irqfd-clean
  839 ?        00:00:00 cgmanager
  841 ?        00:00:01 avahi-daemon
  847 ?        00:00:00 cron
  852 ?        00:00:00 rsyslogd
  853 ?        00:00:00 thermald
  860 ?        00:00:03 dbus-daemon
  903 ?        00:00:00 avahi-daemon
  906 ?        00:00:00 accounts-daemon
  907 ?        00:00:00 ModemManager
  909 ?        00:00:04 NetworkManager
  920 ?        00:00:00 acpid
  923 ?        00:00:00 systemd-logind
 1032 ?        00:00:00 irqbalance
 1072 ?        00:00:00 polkitd
 1104 ?        00:00:00 lightdm
 1193 tty7     00:05:39 Xorg
 1219 ?        00:00:00 kworker/u17:0
 1220 ?        00:00:00 hci0
 1221 ?        00:00:00 hci0
 1223 ?        00:00:00 kworker/u17:2
 1226 ?        00:00:00 php-fpm7.0
 1236 ?        00:00:00 php-fpm7.0
 1237 ?        00:00:00 php-fpm7.0
 1239 ?        00:00:00 bluetoothd
 1247 ?        00:00:01 wpa_supplicant
 1304 ?        00:00:00 upowerd
 1323 ?        00:00:00 lightdm
 1329 ?        00:00:02 dnsmasq
 1578 tty1     00:00:00 agetty
 1591 ?        00:00:00 iprt-VBoxWQueue
 1596 ?        00:00:00 iprt-VBoxTscThr
 1643 ?        00:00:00 apache2
 1645 ?        00:00:02 apache2
 1646 ?        00:00:02 apache2
 1781 ?        00:00:00 systemd
 1783 ?        00:00:00 (sd-pam)
 1788 ?        00:00:04 gnome-keyring-d
 1790 ?        00:00:00 cinnamon-sessio
 1847 ?        00:00:00 ssh-agent
 1850 ?        00:00:00 dbus-launch
 1851 ?        00:00:02 dbus-daemon
 1865 ?        00:00:00 csd-cursor
 1866 ?        00:00:00 csd-screensaver
 1868 ?        00:00:00 csd-print-notif
